year,date_,averageT,minT,averageP,SWE,Rhum,model_id,scenario_id,point_id,x,y
2033,1/31/33 0:00,6.278841654,-2.133333524,121.0625102,553.1063232,44.12135,ccsm3,a2,3,-119.5676,37.8217
2034,1/31/34 0:00,7.216016134,-0.441933274,73.35625203,42.54500071,49.58650833,ccsm3,a2,3,-119.5676,37.8217
2035,1/31/35 0:00,5.454149882,-2.289233208,122.606252,197.8703817,45.86295833,ccsm3,a2,3,-119.5676,37.8217
2036,1/31/36 0:00,6.704108556,-1.399533431,129.1083374,384.3462321,50.95576667,ccsm3,a2,3,-119.5676,37.8217
2037,1/31/37 0:00,5.984925588,-2.245899836,104.4437459,64.28404744,47.06075,ccsm3,a2,3,-119.5676,37.8217
2038,1/31/38 0:00,7.101491928,-1.594600201,66.52083333,203.2317912,42.36683333,ccsm3,a2,3,-119.5676,37.8217
2039,1/31/39 0:00,5.85555013,-2.547591686,92.84168498,81.50916036,45.85375833,ccsm3,a2,3,-119.5676,37.8217
2040,1/31/40 0:00,5.78861618,-1.897183259,65.60417175,101.7538249,46.36688333,ccsm3,a2,3,-119.5676,37.8217
2041,1/31/41 0:00,6.922749837,-0.914041758,72.97916667,116.6427307,43.425125,ccsm3,a2,3,-119.5676,37.8217
2042,1/31/42 0:00,7.132249832,-0.382716457,63.49791463,121.9472758,48.52290833,ccsm3,a2,3,-119.5676,37.8217
2043,1/31/43 0:00,5.778075536,-1.502425035,90.98959351,196.641805,52.47229167,ccsm3,a2,3,-119.5676,37.8217
2044,1/31/44 0:00,5.338382721,-2.190149784,90.84791056,308.699056,51.04325833,ccsm3,a2,3,-119.5676,37.8217
2045,1/31/45 0:00,6.448833466,-1.66718324,92.04582723,86.96195475,51.56600833,ccsm3,a2,3,-119.5676,37.8217
2046,1/31/46 0:00,6.945016861,-0.822499911,77.4354248,101.7994995,44.50678333,ccsm3,a2,3,-119.5676,37.8217
2047,1/31/47 0:00,7.065057755,-0.24391667,62.55832926,76.48575846,47.6864,ccsm3,a2,3,-119.5676,37.8217
2048,1/31/48 0:00,7.136816661,-0.322275062,127.1875102,178.2651774,58.06399167,ccsm3,a2,3,-119.5676,37.8217
2049,1/31/49 0:00,7.16645813,-0.331733187,126.8770955,173.2957967,52.091175,ccsm3,a2,3,-119.5676,37.8217
2050,1/31/50 0:00,7.158884048,-1.194791635,82.31874593,133.9422201,44.97675,ccsm3,a2,3,-119.5676,37.8217
2051,1/31/51 0:00,7.893525441,-0.098383307,71.00000509,91.88985189,45.34174167,ccsm3,a2,3,-119.5676,37.8217
