GUID,SCIENTIFIC_NAME,OTHERCATALOGNUMBERS,COORDINATEUNCERTAINTYINMETERS,COUNTRY,STATE_PROV,ELEVATION,SPEC_LOCALITY,VERBATIM_DATE,PARTS,DEC_LAT,DEC_LONG,SEX,ERA
MVZ:Mamm:22769,Tamias speciosus frater,collector number=2245,162,United States,California,2956.56,"head of Lyell Canyon, Yosemite National Park",22-Jul-15,skull; study skin; DNA; skeleton,37.7769743,-119.2608776,female,H
MVZ:Mamm:22771,Tamias speciosus frater,collector number=1426,645,United States,California,2621.28,"Tuolumne Meadows, Yosemite National Park",25-Jul-15,skull; study skin; DNA,37.8785,-119.3665,female,H
MVZ:Mamm:22716,Tamias speciosus frater,collector number=3351,484,United States,California,2225.04,"near Mono Meadow, Yosemite National Park",19-Jun-15,skull; study skin; study skin sample,37.66855,-119.58804,male,H
MVZ:Mamm:22768,Tamias speciosus frater,collector number=2243,805,United States,California,3048,"McClure Fork, head of Lyell Canyon, Yosemite National Park",22-Jul-15,DNA; study skin,37.7729,-119.2629,male,H
MVZ:Mamm:23395,Tamias speciosus frater,collector number=7483,404,United States,California,3154.68,Vogelsang Lake,4-Sep-15,skull; study skin,37.78762,-119.34099,female,H
MVZ:Mamm:23415,Tamias speciosus frater,collector number=7715,821,United States,California,2804.16,"Ten Lakes, Yosemite National Park",9-Oct-15,skull; study skin,37.90351,-119.52754,female,H
MVZ:Mamm:23390,Tamias speciosus frater,collector number=7369,2414,United States,California,2468.88,"crossing of Forsythe Pass Trail and Sunrise Creek, Yosemite National Park",25-Aug-15,skull; study skin,37.75927,-119.476469,female,H
MVZ:Mamm:23416,Tamias speciosus frater,collector number=7717,215,United States,California,2956.56,"ridge near Ten Lakes, Yosemite National Park",9-Oct-15,skull; study skin,37.90351,-119.53543,male,H
MVZ:Mamm:23418,Tamias speciosus frater,collector number=7729,499,United States,California,1950.72,"Aspen Valley, Yosemite National Park",14-Oct-15,skull; study skin,37.827725,-119.771211,male,H
MVZ:Mamm:23407,Tamias speciosus frater,collector number=7664,30,United States,California,1950.72,"Tuolumne River, Yosemite National Park",1-Oct-15,skull; study skin,37.928858,-119.461163,female,H
MVZ:Mamm:22712,Tamias speciosus frater,collector number=410,1219,United States,California,1920.24,"Crane Flat, Yosemite National Park",16-Jun-15,skull; DNA; study skin,37.756856,-119.799191,female,H
MVZ:Mamm:22722,Tamias speciosus frater,collector number=2058,484,United States,California,2225.04,"near Mono Meadow, Yosemite National Park",22-Jun-15,skull; study skin; DNA; skeleton,37.66855,-119.58804,male,H
MVZ:Mamm:22767,Tamias speciosus frater,collector number=524,162,United States,California,2956.56,"head of Lyell Canyon, Yosemite National Park",20-Jul-15,skull; study skin; DNA; skeleton,37.7769743,-119.2608776,female,H
MVZ:Mamm:23412,Tamias speciosus frater,collector number=7700,238,United States,California,2377.44,"Glen Aulin, Tuolumne River, Yosemite National Park",5-Oct-15,skull; DNA; study skin,37.91206,-119.42135,male,H
MVZ:Mamm:23421,Tamias speciosus frater,collector number=7736,499,United States,California,1950.72,"Aspen Valley, Yosemite National Park",14-Oct-15,skull; study skin,37.827725,-119.771211,female,H
MVZ:Mamm:23425,Tamias speciosus frater,collector number=1555,499,United States,California,1950.72,"Aspen Valley, Yosemite National Park",19-Oct-15,skull; study skin,37.827725,-119.771211,male,H
MVZ:Mamm:23386,Tamias speciosus frater,collector number=3456,1600,United States,California,2225.04,"1 mi E Merced Lake, Yosemite National Park",21-Aug-15,skull; DNA; study skin,37.73082,-119.39231,female,H
MVZ:Mamm:99853,Tamias speciosus frater,collector number=493,645,United States,California,2621.28,"Tuolumne Meadows, Yosemite National Park",8-Aug-40,whole organism (ethanol),37.87941,-119.39498,female,H
