cat.num,species,elev.m,sex,era,specific.locality,latitude,longitude,pc1,face.proj,neuro.proj
201473,Tamias speciosus,2159.508,F,M,Mono Meadow,37.66792,-119.59743,51.2231703,40.19374557,29.73667922
201474,Tamias speciosus,2159.508,M,M,Mono Meadow,37.66792,-119.59743,50.42312487,38.84142654,30.01906836
201476,Tamias speciosus,2159.508,M,M,Mono Meadow,37.66792,-119.59743,51.38827624,39.9072644,30.13488134
201477,Tamias speciosus,2223.516,M,M,Mono Meadow (?),37.67037,-119.58527,53.01782376,41.78031755,30.53663075
201478,Tamias speciosus,2223.516,F,M,Mono Meadow (?),37.67037,-119.58527,53.59268906,41.85300397,31.22809735
201479,Tamias speciosus,2223.516,F,M,Mono Meadow (?),37.67037,-119.58527,53.01699859,41.70582618,30.4149626
201480,Tamias speciosus,2223.516,M,M,Mono Meadow (?),37.67037,-119.58527,52.10975659,40.83163781,30.0375469
201481,Tamias speciosus,2350.008,M,M,Pothole Meadow (?),37.69924,-119.58647,51.90314897,40.38591619,30.38891517
201482,Tamias speciosus,2350.008,M,M,Pothole Meadow (?),37.69924,-119.58647,50.3567025,38.7026098,30.15500362
201483,Tamias speciosus,2350.008,M,M,Pothole Meadow (?),37.69924,-119.58647,53.43630837,41.39961638,31.56408189
201484,Tamias speciosus,2350.008,M,M,Pothole Meadow (?),37.69924,-119.58647,52.27695427,41.1390413,30.1201393
201485,Tamias speciosus,2350.008,F,M,Pothole Meadow (?),37.69924,-119.58647,52.08926287,40.61951457,30.48581402
201486,Tamias speciosus,2350.008,M,M,Pothole Meadow (?),37.69924,-119.58647,53.77680222,41.35504313,32.08347771
201487,Tamias speciosus,2350.008,M,M,Pothole Meadow (?),37.69924,-119.58647,51.38336195,40.265549,29.8025695
201488,Tamias speciosus,2258.2632,M,M,Summit Meadow,37.67152,-119.65707,51.8814489,39.83046787,30.8210055
201489,Tamias speciosus,2258.2632,F,M,Summit Meadow,37.67152,-119.65707,51.79252263,40.62965187,30.0778457
201490,Tamias speciosus,2258.2632,F,M,Summit Meadow,37.67152,-119.65707,53.03502665,41.52177964,30.70351201
201492,Tamias speciosus,2258.2632,M,M,Summit Meadow,37.67152,-119.65707,52.98164377,40.78339628,31.58438236
201493,Tamias speciosus,2135,F,M,Bridalveil Creek Campground (?),37.66436,-119.62117,51.32057577,40.15452475,29.89325627
201494,Tamias speciosus,2135,F,M,Bridalveil Creek Campground (?),37.66436,-119.62117,52.16309461,40.9507625,30.19342574
201495,Tamias speciosus,2135,F,M,Bridalveil Creek Campground (?),37.66436,-119.62117,52.13258352,40.95836996,30.02387693
201496,Tamias speciosus,2983.3824,M,M,Lyell Canyon,37.77819,-119.26115,50.89901951,38.72652893,30.73124955
201497,Tamias speciosus,2983.3824,F,M,Lyell Canyon,37.77819,-119.26115,50.81496913,39.56860401,29.94360803
201498,Tamias speciosus,2983.3824,F,M,Lyell Canyon,37.77819,-119.26115,50.33369311,39.257121,29.41378668
201499,Tamias speciosus,2983.3824,M,M,Lyell Canyon,37.77819,-119.26115,52.22618876,41.0298924,30.0812426
201500,Tamias speciosus,2983.3824,M,M,Lyell Canyon,37.77819,-119.26115,50.87705423,39.34826928,30.15519795
201502,Tamias speciosus,3121.152,M,M,Lyell Canyon,37.76807,-119.25506,52.03072262,40.56847822,30.32408621
